CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4587-42602,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),73.95,1427.94,Yes
2390-29677,Female,1,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,62.11,3258.0,No
5252-83637,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,111.93,2854.71,No
6469-13776,Male,0,Yes,No,50,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,46.74,2254.86,No
9442-52982,Male,1,Yes,Yes,52,Yes,No,No,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),100.87,5283.47,No
3459-33074,Female,0,No,No,54,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,20.08,1096.44,No
7185-42060,Male,0,Yes,No,34,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),58.89,2069.98,No
3106-29205,Female,1,No,No,20,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,92.63,1926.7,Yes
6380-96331,Male,0,No,No,15,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,112.18,1627.23,No
5969-75614,Female,1,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),98.82,1335.17,No
6314-41676,Female,1,Yes,No,44,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),114.36,4961.07,No
2753-63040,Male,0,Yes,No,13,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,32.22,432.6,Yes
7815-19357,Female,1,Yes,Yes,42,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,75.47,3306.14,Yes
1364-74936,Male,0,No,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,27.46,796.92,No
5056-37489,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.57,3650.37,No
6474-80741,Male,0,No,Yes,64,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),102.08,6544.1,Yes
9894-97230,Female,1,No,Yes,22,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),52.69,1183.59,Yes
9169-95997,Female,0,No,Yes,5,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,38.17,181.9,No
2668-26669,Male,0,No,Yes,12,No,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,100.35,1236.92,No
6459-32825,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),103.44,6954.25,No
2700-67120,Female,1,Yes,No,13,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,One year,No,Credit card (automatic),41.55,533.71,No
7076-57704,Male,0,Yes,Yes,6,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,65.54,399.98,Yes
9636-83237,Male,1,Yes,No,14,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No internet service,One year,No,Mailed check,59.08,833.67,No
9892-74237,Male,0,No,No,57,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,74.34,4217.92,No
3644-37954,Male,1,Yes,No,36,Yes,No,No,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,108.32,3847.49,No
2329-69121,Male,0,No,No,41,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.07,2535.54,No
2124-64291,Female,1,Yes,No,48,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,60.01,3016.56,No
8691-61468,Male,1,Yes,No,53,Yes,Yes,No,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),34.94,1843.0,No
7456-65881,Male,0,No,Yes,60,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.31,2074.72,No
1359-68536,Male,1,No,Yes,9,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),101.28,904.29,No
7620-96577,Female,0,Yes,No,31,No,No,No,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Mailed check,108.07,3421.65,No
7445-72632,Female,0,No,No,65,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),75.38,4870.23,No
3564-10350,Female,1,No,Yes,23,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,73.65,1701.5,No
3969-45384,Male,0,No,No,6,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,56.68,346.92,Yes
5425-68281,Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),35.47,1898.91,No
1210-89067,Female,0,No,No,15,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,47.8,731.81,Yes
2242-24880,Male,1,No,Yes,44,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,24.9,1105.39,No
2657-60353,Female,1,Yes,No,31,Yes,No,DSL,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,81.12,2542.89,Yes
2862-15119,Female,1,Yes,No,22,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),38.54,880.12,No
4820-20489,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Two year,No,Credit card (automatic),85.96,4990.64,No
5129-27239,Male,1,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,49.0,1938.37,No
4793-41013,Male,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),51.04,3057.76,No
3175-64332,Male,1,No,Yes,57,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,79.61,4420.87,No
3130-46183,Male,1,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,113.32,5619.52,No
4310-91542,Female,0,Yes,No,65,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,52.96,3603.73,No
7453-49058,Female,1,Yes,No,66,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.88,4714.13,No
3134-29251,Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Electronic check,24.31,1070.35,No
2262-18831,Male,1,Yes,No,26,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),78.66,2099.63,No
9306-80789,Male,1,Yes,No,14,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.14,1213.43,No
5178-54505,Male,1,No,No,60,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,82.93,4981.41,No
8998-83481,Male,0,Yes,No,1,Yes,No,DSL,No internet service,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),72.03,74.74,No
8370-67475,Female,0,Yes,Yes,19,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,One year,No,Electronic check,42.32,780.52,No
3659-65386,Female,1,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),73.53,2025.45,No
5410-72894,Male,1,Yes,No,67,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),100.23,6553.06,No
4336-68325,Female,1,No,No,69,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,113.32,7473.06,No
5455-48571,Male,0,Yes,No,50,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,114.83,5981.06,No
6594-38287,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Electronic check,21.61,949.43,Yes
9958-83613,Male,1,No,Yes,40,Yes,No phone service,No,No,No,No,Yes,No internet service,No,One year,Yes,Electronic check,86.04,3366.85,No
2098-78226,Female,0,Yes,Yes,15,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,75.72,1163.99,No
5090-40437,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),66.16,3721.48,No
7983-34355,Male,1,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,107.23,4222.29,No
4115-91381,Female,0,Yes,No,46,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),40.68,1810.58,No
3295-91535,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.36,5864.15,No
3929-17422,Male,1,Yes,Yes,66,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),115.45,7273.35,No
2250-35425,Male,0,No,No,47,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,96.15,4345.96,No
8845-55044,Male,0,Yes,No,21,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),24.04,516.12,No
8001-91913,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,No,Electronic check,20.24,529.03,No
9224-97181,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.09,782.59,Yes
4808-75984,Male,0,Yes,No,49,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.59,3367.54,No
3138-76047,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Mailed check,51.3,1324.02,No
6075-17869,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),60.52,3864.06,No
7345-24436,Male,1,No,No,30,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.63,2959.82,No
8076-80391,Female,1,Yes,No,40,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,41.04,1714.92,No
3986-69004,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),61.11,2445.06,No
1573-88889,Female,1,No,No,13,Yes,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),76.29,988.88,No
3426-13322,Female,1,No,No,35,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),37.87,1376.46,No
4473-24371,Male,0,Yes,No,13,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.75,1405.31,Yes
2392-50209,Male,0,No,No,17,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),38.91,675.41,No
9765-88431,Male,1,No,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),29.57,1602.35,No
7578-97187,Female,0,Yes,No,20,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,67.04,1302.37,No
2842-11571,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),88.94,4710.68,No
1855-61704,Male,1,Yes,No,43,Yes,No,DSL,No internet service,No,No,Yes,Yes,Yes,One year,No,Mailed check,27.65,1247.35,No
5649-83949,Female,1,No,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),113.13,5519.7,No
1359-52244,Female,1,Yes,No,31,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.75,700.12,No
9574-91992,Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,66.41,2697.18,No
8094-73666,Male,0,Yes,No,21,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),76.1,1564.22,No
3238-41673,Female,0,No,No,40,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Electronic check,35.01,1376.88,No
9000-33567,Male,1,No,No,26,Yes,Yes,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,93.97,2461.09,No
4684-91499,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),69.26,474.23,No
7348-49276,Female,0,Yes,No,69,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,79.64,5659.59,No
7547-86236,Male,0,No,No,52,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),47.59,2510.76,No
5534-81940,Female,1,No,No,22,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,24.27,559.22,Yes
3111-59778,Male,0,No,No,71,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,43.49,3070.11,Yes
3581-94556,Female,1,Yes,Yes,35,No,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),102.31,3677.63,Yes
3250-14594,Male,1,No,No,47,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,102.53,5049.88,No
1348-66695,Male,1,No,Yes,49,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),60.58,2868.19,No
7177-42036,Female,1,No,Yes,47,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,35.56,1683.88,No
7681-85819,Male,0,Yes,Yes,26,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,83.98,2146.3,No
2388-85602,Male,1,Yes,No,52,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,97.39,4831.02,No
5254-34530,Female,0,No,No,13,Yes,No,DSL,No,Yes,No,No internet service,No,No,Two year,No,Mailed check,51.22,670.61,No
8752-56482,Male,1,No,No,38,No,No,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),40.67,1499.02,No
4924-77713,Female,1,No,No,11,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No,One year,No,Electronic check,60.8,636.66,Yes
7332-58946,Female,0,Yes,No,38,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,107.55,4018.67,No
4626-31990,Male,0,No,No,60,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,51.8,3153.62,No
1182-61906,Female,1,No,No,61,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),27.15,1599.36,No
6238-91227,Female,0,No,No,38,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),68.5,2615.22,No
9780-91975,Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Electronic check,66.53,2534.38,No
3442-37253,Male,1,Yes,No,31,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,114.06,3665.62,Yes
9057-52548,Male,0,No,No,7,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,No,Mailed check,27.15,193.45,No
4891-24033,Male,1,Yes,No,23,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.76,2254.12,No
6679-24206,Male,0,Yes,No,27,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,30.82,799.72,No
2633-91390,Female,0,Yes,No,69,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.88,3483.15,No
7153-37963,Female,0,Yes,No,64,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),51.47,3203.78,No
3921-74847,Male,1,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.86,5546.93,No
7625-74708,Male,0,No,No,34,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,94.81,3108.45,No
7365-53900,Female,0,No,Yes,53,No,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),26.39,1366.41,No
3167-58548,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.85,655.0,No
6978-51856,Female,1,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Electronic check,63.38,3160.63,No
8515-27739,Female,1,No,No,4,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,60.97,248.27,No
6205-10619,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,92.41,191.58,No
6422-17925,Male,0,No,No,50,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,Two year,Yes,Electronic check,111.99,5419.07,No
3087-52583,Female,1,Yes,Yes,64,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,98.18,6344.52,No
9897-72049,Female,0,Yes,Yes,40,Yes,Yes,No,No,No,Yes,No,No,No,One year,No,Mailed check,70.02,2713.08,No
2406-46054,Female,0,No,No,65,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,25.45,1642.34,No
7679-39800,Male,0,Yes,No,51,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,90.05,4766.43,No
4101-29529,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,105.32,2374.27,Yes
2034-40282,Male,1,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,No,Electronic check,79.99,5228.35,No
7288-74455,Female,0,Yes,No,26,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,21.35,548.64,No
5108-85550,Female,0,Yes,Yes,67,Yes,No phone service,No,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,19.38,1316.17,No
8385-80023,Female,1,Yes,No,1,No,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.53,116.2,Yes
7604-30369,Male,0,No,No,65,Yes,No phone service,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.79,3353.56,No
5731-88473,Male,0,No,Yes,10,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),42.43,421.69,Yes
4557-28701,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,80.44,1407.6,No
8473-59476,Female,1,No,Yes,54,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,52.86,2726.14,No
9825-21245,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,No,Mailed check,65.45,1989.44,No
6623-60499,Female,1,No,No,6,Yes,Yes,No,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),98.46,567.11,No
1439-78876,Male,1,Yes,Yes,48,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,79.05,3925.41,No
5884-44739,Male,1,No,No,70,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),55.4,3757.6,No
7647-99252,Female,1,No,Yes,13,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,54.2,709.73,No
9230-58088,Female,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,44.94,1298.1,No
6761-39606,Male,1,No,No,47,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),80.82,3627.68,No
3675-62436,Female,0,No,No,49,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),83.33,4143.51,No
9013-57297,Female,1,No,Yes,1,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,27.14,27.79,No
4207-60906,Male,0,Yes,No,47,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,95.37,4349.0,No
3394-37220,Female,0,No,No,45,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),91.08,4115.04,No
7993-43144,Female,1,No,No,55,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),35.42,1851.95,No
6294-20904,Male,0,Yes,No,49,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,29.78,1519.17,No
4213-92059,Female,0,Yes,No,10,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.78,301.8,Yes
3585-55900,Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,44.46,139.92,No
8984-57796,Male,0,No,No,33,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.97,2067.33,No
1387-62813,Male,0,No,No,59,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.8,2613.89,No
5742-46991,Female,0,No,Yes,2,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,62.0,127.51,No
