Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,Yes,44,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,24.9,1105.39,No
Female,1,Yes,No,31,Yes,No,DSL,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,81.12,2542.89,Yes
Female,1,Yes,No,22,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),38.54,880.12,No
Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Two year,No,Credit card (automatic),85.96,4990.64,No
Male,1,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,49.0,1938.37,No
Male,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),51.04,3057.76,No
Male,1,No,Yes,57,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,79.61,4420.87,No
Male,1,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,113.32,5619.52,No
Female,0,Yes,No,65,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,52.96,3603.73,No
Female,1,Yes,No,66,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.88,4714.13,No
Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Electronic check,24.31,1070.35,No
Male,1,Yes,No,26,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),78.66,2099.63,No
Male,1,Yes,No,14,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.14,1213.43,No
Male,1,No,No,60,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,82.93,4981.41,No
Male,0,Yes,No,1,Yes,No,DSL,No internet service,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),72.03,74.74,No
Female,0,Yes,Yes,19,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,One year,No,Electronic check,42.32,780.52,No
Female,1,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),73.53,2025.45,No
Male,1,Yes,No,67,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),100.23,6553.06,No
Female,1,No,No,69,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,113.32,7473.06,No
Male,0,Yes,No,50,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,114.83,5981.06,No
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Electronic check,21.61,949.43,Yes
Male,1,No,Yes,40,Yes,No phone service,No,No,No,No,Yes,No internet service,No,One year,Yes,Electronic check,86.04,3366.85,No
Female,0,Yes,Yes,15,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,75.72,1163.99,No
Female,0,No,No,56,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),66.16,3721.48,No
Male,1,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,107.23,4222.29,No
Female,0,Yes,No,46,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),40.68,1810.58,No
Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.36,5864.15,No
Male,1,Yes,Yes,66,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),115.45,7273.35,No
Male,0,No,No,47,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,96.15,4345.96,No
Male,0,Yes,No,21,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),24.04,516.12,No
Female,1,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,No,Electronic check,20.24,529.03,No
Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.09,782.59,Yes
Male,0,Yes,No,49,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,69.59,3367.54,No
Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Mailed check,51.3,1324.02,No
Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),60.52,3864.06,No
Male,1,No,No,30,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.63,2959.82,No
Female,1,Yes,No,40,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,41.04,1714.92,No
Male,0,No,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),61.11,2445.06,No
Female,1,No,No,13,Yes,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),76.29,988.88,No
Female,1,No,No,35,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),37.87,1376.46,No
Male,0,Yes,No,13,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.75,1405.31,Yes
Male,0,No,No,17,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),38.91,675.41,No
Male,1,No,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),29.57,1602.35,No
Female,0,Yes,No,20,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,67.04,1302.37,No
Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),88.94,4710.68,No
Male,1,Yes,No,43,Yes,No,DSL,No internet service,No,No,Yes,Yes,Yes,One year,No,Mailed check,27.65,1247.35,No
Female,1,No,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),113.13,5519.7,No
Female,1,Yes,No,31,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.75,700.12,No
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,66.41,2697.18,No
Male,0,Yes,No,21,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),76.1,1564.22,No
Female,0,No,No,40,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Electronic check,35.01,1376.88,No
Male,1,No,No,26,Yes,Yes,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,93.97,2461.09,No
Male,0,No,No,7,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),69.26,474.23,No
Female,0,Yes,No,69,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,79.64,5659.59,No
Male,0,No,No,52,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),47.59,2510.76,No
Female,1,No,No,22,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,24.27,559.22,Yes
Male,0,No,No,71,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,43.49,3070.11,Yes
Female,1,Yes,Yes,35,No,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),102.31,3677.63,Yes
Male,1,No,No,47,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,102.53,5049.88,No
Male,1,No,Yes,49,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),60.58,2868.19,No
Female,1,No,Yes,47,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,35.56,1683.88,No
Male,0,Yes,Yes,26,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,83.98,2146.3,No
Male,1,Yes,No,52,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,97.39,4831.02,No
Female,0,No,No,13,Yes,No,DSL,No,Yes,No,No internet service,No,No,Two year,No,Mailed check,51.22,670.61,No
Male,1,No,No,38,No,No,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),40.67,1499.02,No
Female,1,No,No,11,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No,One year,No,Electronic check,60.8,636.66,Yes
Female,0,Yes,No,38,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,107.55,4018.67,No
Male,0,No,No,60,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,51.8,3153.62,No
Female,1,No,No,61,Yes,No phone service,No,Yes,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),27.15,1599.36,No
Female,0,No,No,38,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),68.5,2615.22,No
Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Electronic check,66.53,2534.38,No
Male,1,Yes,No,31,Yes,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,114.06,3665.62,Yes
Male,0,No,No,7,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,No,Mailed check,27.15,193.45,No
Male,1,Yes,No,23,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.76,2254.12,No
Male,0,Yes,No,27,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,30.82,799.72,No
Female,0,Yes,No,69,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.88,3483.15,No
Female,0,Yes,No,64,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),51.47,3203.78,No
Male,1,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.86,5546.93,No
Male,0,No,No,34,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,94.81,3108.45,No
Female,0,No,Yes,53,No,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),26.39,1366.41,No
Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.85,655.0,No
Female,1,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Electronic check,63.38,3160.63,No
Female,1,No,No,4,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,60.97,248.27,No
Female,0,No,Yes,2,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,92.41,191.58,No
Male,0,No,No,50,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No,Two year,Yes,Electronic check,111.99,5419.07,No
Female,1,Yes,Yes,64,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,98.18,6344.52,No
Female,0,Yes,Yes,40,Yes,Yes,No,No,No,Yes,No,No,No,One year,No,Mailed check,70.02,2713.08,No
Female,0,No,No,65,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,25.45,1642.34,No
Male,0,Yes,No,51,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,90.05,4766.43,No
Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,105.32,2374.27,Yes
Male,1,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,No,Electronic check,79.99,5228.35,No
Female,0,Yes,No,26,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,21.35,548.64,No
Female,0,Yes,Yes,67,Yes,No phone service,No,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,19.38,1316.17,No
Female,1,Yes,No,1,No,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,114.53,116.2,Yes
Male,0,No,No,65,Yes,No phone service,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.79,3353.56,No
Male,0,No,Yes,10,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),42.43,421.69,Yes
Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,80.44,1407.6,No
Female,1,No,Yes,54,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,52.86,2726.14,No
Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,One year,No,Mailed check,65.45,1989.44,No
Female,1,No,No,6,Yes,Yes,No,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),98.46,567.11,No
Male,1,Yes,Yes,48,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,79.05,3925.41,No
Male,1,No,No,70,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),55.4,3757.6,No
Female,1,No,Yes,13,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,54.2,709.73,No
Female,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,44.94,1298.1,No
Male,1,No,No,47,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),80.82,3627.68,No
Female,0,No,No,49,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),83.33,4143.51,No
Female,1,No,Yes,1,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,27.14,27.79,No
Male,0,Yes,No,47,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,95.37,4349.0,No
Female,0,No,No,45,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),91.08,4115.04,No
Female,1,No,No,55,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),35.42,1851.95,No
Male,0,Yes,No,49,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,29.78,1519.17,No
Female,0,Yes,No,10,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.78,301.8,Yes
Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,44.46,139.92,No
Male,0,No,No,33,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.97,2067.33,No
Male,0,No,No,59,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.8,2613.89,No
Female,0,No,Yes,2,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,62.0,127.51,No
Male,0,No,No,58,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,82.25,4959.72,No
Male,0,Yes,No,61,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),62.88,3777.8,No
Male,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),22.66,23.17,No
Female,0,No,Yes,23,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,46.58,1032.7,No
Female,1,No,No,27,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,114.3,3094.45,Yes
Female,0,No,No,71,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,22.05,1643.66,No
Female,0,Yes,No,17,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),20.05,323.97,No
Male,0,No,No,50,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,No,One year,No,Mailed check,73.04,3629.58,No
Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),65.8,128.43,Yes
Female,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),43.19,2623.19,No
Female,0,Yes,No,30,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,41.51,1219.88,No
Male,0,Yes,Yes,50,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No,Two year,Yes,Mailed check,27.64,1334.14,No
Male,0,No,No,12,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,107.15,1289.35,Yes
Male,1,No,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.54,844.87,Yes
