concession_type,atc_code,drug_class,year,month,target,date,drug_id,lag_1,lag_12,rolling_mean_3,rolling_mean_6
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1991,12,50083.0,1991-12-01,A01_STOMATOLOGICAL PREPARATIONS,13691.0,54299.0,27033.0,37617.333333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,1,14982.0,1992-01-01,A01_STOMATOLOGICAL PREPARATIONS,50083.0,11040.0,38859.333333333336,35779.833333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,1,55635.81,1992-01-01,A01_STOMATOLOGICAL PREPARATIONS,14982.0,39753.0,26252.0,35253.333333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,2,13860.0,1992-02-01,A01_STOMATOLOGICAL PREPARATIONS,55635.81,15165.0,40233.60333333333,33633.301666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,2,51111.5,1992-02-01,A01_STOMATOLOGICAL PREPARATIONS,13860.0,54405.0,28159.27,33509.301666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,3,14071.0,1992-03-01,A01_STOMATOLOGICAL PREPARATIONS,51111.5,16898.0,40202.43666666667,33227.21833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,3,53778.52,1992-03-01,A01_STOMATOLOGICAL PREPARATIONS,14071.0,61108.0,26347.5,33290.551666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,4,13342.0,1992-04-01,A01_STOMATOLOGICAL PREPARATIONS,53778.52,18141.0,39653.67333333333,33906.471666666665
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,4,51083.8,1992-04-01,A01_STOMATOLOGICAL PREPARATIONS,13342.0,65356.0,27063.839999999997,33633.13833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,5,12430.0,1992-05-01,A01_STOMATOLOGICAL PREPARATIONS,51083.8,14604.0,39401.439999999995,32874.47
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,5,47557.17,1992-05-01,A01_STOMATOLOGICAL PREPARATIONS,12430.0,52804.0,25618.600000000002,32636.13666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,6,13595.0,1992-06-01,A01_STOMATOLOGICAL PREPARATIONS,47557.17,13691.0,37023.65666666667,32043.748333333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,6,52042.15,1992-06-01,A01_STOMATOLOGICAL PREPARATIONS,13595.0,50083.0,24527.39,31964.414999999997
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,7,10824.0,1992-07-01,A01_STOMATOLOGICAL PREPARATIONS,52042.15,14982.0,37731.44,31675.02
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,7,41636.38,1992-07-01,A01_STOMATOLOGICAL PREPARATIONS,10824.0,55635.81,25487.05,31255.353333333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,8,16863.0,1992-08-01,A01_STOMATOLOGICAL PREPARATIONS,41636.38,13860.0,34834.176666666666,29680.783333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,8,66216.82,1992-08-01,A01_STOMATOLOGICAL PREPARATIONS,16863.0,51111.5,23107.793333333335,30419.61666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,9,20474.0,1992-09-01,A01_STOMATOLOGICAL PREPARATIONS,66216.82,14071.0,41572.06666666667,33529.558333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,9,80831.09,1992-09-01,A01_STOMATOLOGICAL PREPARATIONS,20474.0,53778.52,34517.94,34676.058333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,10,18532.0,1992-10-01,A01_STOMATOLOGICAL PREPARATIONS,80831.09,13342.0,55840.636666666665,39474.215000000004
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,10,73444.34,1992-10-01,A01_STOMATOLOGICAL PREPARATIONS,18532.0,51083.8,39945.69666666666,40758.88166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,11,17688.0,1992-11-01,A01_STOMATOLOGICAL PREPARATIONS,73444.34,12430.0,57602.47666666666,46060.208333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,11,70393.09,1992-11-01,A01_STOMATOLOGICAL PREPARATIONS,17688.0,47557.17,36554.78,46197.708333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,12,16588.0,1992-12-01,A01_STOMATOLOGICAL PREPARATIONS,70393.09,13595.0,53841.81,46893.753333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1992,12,66598.48,1992-12-01,A01_STOMATOLOGICAL PREPARATIONS,16588.0,52042.15,34889.69666666666,46246.08666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,1,16455.0,1993-01-01,A01_STOMATOLOGICAL PREPARATIONS,66598.48,10824.0,51193.19,43873.98499999999
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,1,68661.61,1993-01-01,A01_STOMATOLOGICAL PREPARATIONS,16455.0,41636.38,33213.82666666667,43527.81833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,2,15997.0,1993-02-01,A01_STOMATOLOGICAL PREPARATIONS,68661.61,16863.0,50571.69666666666,42730.69666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,2,67837.64,1993-02-01,A01_STOMATOLOGICAL PREPARATIONS,15997.0,66216.82,33704.53666666667,42448.863333333335
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,3,15419.0,1993-03-01,A01_STOMATOLOGICAL PREPARATIONS,67837.64,20474.0,50832.083333333336,42022.954999999994
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,3,65289.87,1993-03-01,A01_STOMATOLOGICAL PREPARATIONS,15419.0,80831.09,33084.54666666667,41828.121666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,4,14086.0,1993-04-01,A01_STOMATOLOGICAL PREPARATIONS,65289.87,18532.0,49515.503333333334,41610.02
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,4,59544.72,1993-04-01,A01_STOMATOLOGICAL PREPARATIONS,14086.0,73444.34,31598.289999999997,41215.18666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,5,13456.0,1993-05-01,A01_STOMATOLOGICAL PREPARATIONS,59544.72,17688.0,46306.863333333335,39695.705
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,5,57020.7,1993-05-01,A01_STOMATOLOGICAL PREPARATIONS,13456.0,70393.09,29028.906666666666,39272.205
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,6,15789.0,1993-06-01,A01_STOMATOLOGICAL PREPARATIONS,57020.7,16588.0,43340.473333333335,37469.38166666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,6,67196.36,1993-06-01,A01_STOMATOLOGICAL PREPARATIONS,15789.0,66598.48,28755.233333333334,37531.04833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,7,11269.0,1993-07-01,A01_STOMATOLOGICAL PREPARATIONS,67196.36,16455.0,46668.68666666667,37848.79666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,7,48136.22,1993-07-01,A01_STOMATOLOGICAL PREPARATIONS,11269.0,68661.61,31418.12,37379.29666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,8,17359.0,1993-08-01,A01_STOMATOLOGICAL PREPARATIONS,48136.22,15997.0,42200.526666666665,35477.88
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,8,75784.19,1993-08-01,A01_STOMATOLOGICAL PREPARATIONS,17359.0,67837.64,25588.073333333334,36128.38
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,9,22105.0,1993-09-01,A01_STOMATOLOGICAL PREPARATIONS,75784.19,15419.0,47093.136666666665,39255.628333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,9,97465.0,1993-09-01,A01_STOMATOLOGICAL PREPARATIONS,22105.0,65289.87,38416.06333333333,40308.295000000006
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,10,18774.0,1993-10-01,A01_STOMATOLOGICAL PREPARATIONS,97465.0,14086.0,65118.06333333333,45353.068333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,10,82693.97,1993-10-01,A01_STOMATOLOGICAL PREPARATIONS,18774.0,59544.72,46114.666666666664,46603.90166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,11,19374.0,1993-11-01,A01_STOMATOLOGICAL PREPARATIONS,82693.97,13456.0,66310.99,52363.52666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,11,85553.67,1993-11-01,A01_STOMATOLOGICAL PREPARATIONS,19374.0,57020.7,40280.65666666667,52699.36000000001
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,12,18204.0,1993-12-01,A01_STOMATOLOGICAL PREPARATIONS,85553.67,15789.0,62540.54666666667,54327.60666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1993,12,80674.37,1993-12-01,A01_STOMATOLOGICAL PREPARATIONS,18204.0,67196.36,41043.89,53677.44
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,1,16575.0,1994-01-01,A01_STOMATOLOGICAL PREPARATIONS,80674.37,11269.0,61477.34666666666,50879.00166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,1,72850.78,1994-01-01,A01_STOMATOLOGICAL PREPARATIONS,16575.0,48136.22,38484.456666666665,50512.50166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,2,17900.0,1994-02-01,A01_STOMATOLOGICAL PREPARATIONS,72850.78,17359.0,56700.049999999996,48871.969999999994
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,2,81345.17,1994-02-01,A01_STOMATOLOGICAL PREPARATIONS,17900.0,75784.19,35775.26,48626.30333333332
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,3,15891.0,1994-03-01,A01_STOMATOLOGICAL PREPARATIONS,81345.17,22105.0,57365.31666666667,47924.886666666665
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,3,72181.69,1994-03-01,A01_STOMATOLOGICAL PREPARATIONS,15891.0,97465.0,38378.723333333335,47539.386666666665
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,4,14673.0,1994-04-01,A01_STOMATOLOGICAL PREPARATIONS,72181.69,18774.0,56472.619999999995,46123.94
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,4,66558.77,1994-04-01,A01_STOMATOLOGICAL PREPARATIONS,14673.0,82693.97,34248.56333333333,45806.94
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,5,13945.0,1994-05-01,A01_STOMATOLOGICAL PREPARATIONS,66558.77,19374.0,51137.82000000001,44758.27166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,5,63614.43,1994-05-01,A01_STOMATOLOGICAL PREPARATIONS,13945.0,85553.67,31725.59,44099.105
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,6,13383.0,1994-06-01,A01_STOMATOLOGICAL PREPARATIONS,63614.43,18204.0,48039.4,41143.98166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,6,60790.03,1994-06-01,A01_STOMATOLOGICAL PREPARATIONS,13383.0,80674.37,30314.14333333333,40725.98166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,7,12974.0,1994-07-01,A01_STOMATOLOGICAL PREPARATIONS,60790.03,16575.0,45929.15333333333,38827.371666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,7,59327.49,1994-07-01,A01_STOMATOLOGICAL PREPARATIONS,12974.0,72850.78,29049.01,38544.205
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,8,18129.0,1994-08-01,A01_STOMATOLOGICAL PREPARATIONS,59327.49,17900.0,44363.84,37338.99166666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,8,83770.48,1994-08-01,A01_STOMATOLOGICAL PREPARATIONS,18129.0,81345.17,30143.496666666662,38036.325
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,9,21662.0,1994-09-01,A01_STOMATOLOGICAL PREPARATIONS,83770.48,15891.0,53742.32333333333,41395.666666666664
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,9,100895.63,1994-09-01,A01_STOMATOLOGICAL PREPARATIONS,21662.0,72181.69,41187.159999999996,42775.5
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,10,20315.0,1994-10-01,A01_STOMATOLOGICAL PREPARATIONS,100895.63,14673.0,68776.03666666667,49459.76666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,10,94819.4,1994-10-01,A01_STOMATOLOGICAL PREPARATIONS,20315.0,66558.77,47624.21,50683.26666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,11,19140.0,1994-11-01,A01_STOMATOLOGICAL PREPARATIONS,94819.4,13945.0,72010.01,56598.585
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,11,89651.67,1994-11-01,A01_STOMATOLOGICAL PREPARATIONS,19140.0,63614.43,44758.13333333333,56767.085
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,12,18166.0,1994-12-01,A01_STOMATOLOGICAL PREPARATIONS,89651.67,13383.0,67870.35666666667,57747.28333333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1994,12,85445.54,1994-12-01,A01_STOMATOLOGICAL PREPARATIONS,18166.0,60790.03,42319.223333333335,57164.61666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,1,16846.0,1995-01-01,A01_STOMATOLOGICAL PREPARATIONS,85445.54,12974.0,64421.07,54589.60166666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,1,80717.02,1995-01-01,A01_STOMATOLOGICAL PREPARATIONS,16846.0,59327.49,40152.51333333333,54011.435
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,2,17439.0,1995-02-01,A01_STOMATOLOGICAL PREPARATIONS,80717.02,18129.0,61002.85333333333,51661.03833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,2,86404.17,1995-02-01,A01_STOMATOLOGICAL PREPARATIONS,17439.0,83770.48,38334.00666666667,51377.53833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,3,15528.0,1995-03-01,A01_STOMATOLOGICAL PREPARATIONS,86404.17,21662.0,61520.06333333333,50836.28833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,3,77041.78,1995-03-01,A01_STOMATOLOGICAL PREPARATIONS,15528.0,100895.63,39790.39,50396.621666666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,4,15858.0,1995-04-01,A01_STOMATOLOGICAL PREPARATIONS,77041.78,20315.0,59657.98333333334,48995.994999999995
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,4,78171.49,1995-04-01,A01_STOMATOLOGICAL PREPARATIONS,15858.0,94819.4,36142.59333333333,48831.32833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,5,13954.0,1995-05-01,A01_STOMATOLOGICAL PREPARATIONS,78171.49,19140.0,57023.756666666675,48407.073333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,5,69380.33,1995-05-01,A01_STOMATOLOGICAL PREPARATIONS,13954.0,89651.67,35994.496666666666,47826.24
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,6,13779.0,1995-06-01,A01_STOMATOLOGICAL PREPARATIONS,69380.33,18166.0,53835.27333333334,44988.93333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,6,68092.49,1995-06-01,A01_STOMATOLOGICAL PREPARATIONS,13779.0,85445.54,32371.11,44697.43333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,7,13850.0,1995-07-01,A01_STOMATOLOGICAL PREPARATIONS,68092.49,16846.0,50417.27333333334,43205.885
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,7,68526.81,1995-07-01,A01_STOMATOLOGICAL PREPARATIONS,13850.0,80717.02,31907.163333333334,42871.21833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,8,19471.0,1995-08-01,A01_STOMATOLOGICAL PREPARATIONS,68526.81,17439.0,50156.43333333333,41263.77166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,8,94464.45,1995-08-01,A01_STOMATOLOGICAL PREPARATIONS,19471.0,86404.17,33949.27,42183.27166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,9,20717.0,1995-09-01,A01_STOMATOLOGICAL PREPARATIONS,94464.45,15528.0,60820.753333333334,46363.958333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,9,100329.78,1995-09-01,A01_STOMATOLOGICAL PREPARATIONS,20717.0,77041.78,44884.15,47520.291666666664
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,10,20061.0,1995-10-01,A01_STOMATOLOGICAL PREPARATIONS,100329.78,15858.0,71837.07666666666,52893.17333333334
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,10,97290.77,1995-10-01,A01_STOMATOLOGICAL PREPARATIONS,20061.0,78171.49,47035.926666666666,53928.340000000004
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,11,17191.0,1995-11-01,A01_STOMATOLOGICAL PREPARATIONS,97290.77,13954.0,72560.51666666666,58722.333333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,11,83140.98,1995-11-01,A01_STOMATOLOGICAL PREPARATIONS,17191.0,69380.33,44847.590000000004,58342.333333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,12,14290.0,1995-12-01,A01_STOMATOLOGICAL PREPARATIONS,83140.98,13779.0,65874.25,56455.088333333326
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1995,12,69139.44,1995-12-01,A01_STOMATOLOGICAL PREPARATIONS,14290.0,68092.49,38207.32666666667,55383.92166666666
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,1,17031.0,1996-01-01,A01_STOMATOLOGICAL PREPARATIONS,69139.44,13850.0,55523.47333333333,50185.53166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,1,82571.24,1996-01-01,A01_STOMATOLOGICAL PREPARATIONS,17031.0,68526.81,33486.81333333333,49680.53166666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,2,15870.0,1996-02-01,A01_STOMATOLOGICAL PREPARATIONS,82571.24,19471.0,56247.22666666666,47227.276666666665
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,2,77735.28,1996-02-01,A01_STOMATOLOGICAL PREPARATIONS,15870.0,94464.45,38490.746666666666,47007.10999999999
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,3,15475.0,1996-03-01,A01_STOMATOLOGICAL PREPARATIONS,77735.28,20717.0,58725.506666666675,46106.159999999996
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,3,75383.77,1996-03-01,A01_STOMATOLOGICAL PREPARATIONS,15475.0,100329.78,36360.09333333333,46303.659999999996
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,4,14972.0,1996-04-01,A01_STOMATOLOGICAL PREPARATIONS,75383.77,20061.0,56198.01666666666,47344.381666666675
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,4,73820.29,1996-04-01,A01_STOMATOLOGICAL PREPARATIONS,14972.0,97290.77,35276.92333333333,47001.215000000004
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,5,13171.0,1996-05-01,A01_STOMATOLOGICAL PREPARATIONS,73820.29,17191.0,54725.35333333333,45542.72333333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,5,64545.35,1996-05-01,A01_STOMATOLOGICAL PREPARATIONS,13171.0,83140.98,33987.76333333333,45092.88999999999
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,6,14379.0,1996-06-01,A01_STOMATOLOGICAL PREPARATIONS,64545.35,14290.0,50512.213333333326,42894.568333333336
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,6,70315.66,1996-06-01,A01_STOMATOLOGICAL PREPARATIONS,14379.0,69139.44,30698.45,42711.901666666665
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,7,12600.0,1996-07-01,A01_STOMATOLOGICAL PREPARATIONS,70315.66,17031.0,49746.670000000006,41867.21666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,7,60384.52,1996-07-01,A01_STOMATOLOGICAL PREPARATIONS,12600.0,82571.24,32431.553333333333,41471.88333333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,8,17569.0,1996-08-01,A01_STOMATOLOGICAL PREPARATIONS,60384.52,15870.0,47766.72666666666,39232.58833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,8,77962.78,1996-08-01,A01_STOMATOLOGICAL PREPARATIONS,17569.0,77735.28,30184.506666666664,39965.58833333333
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,9,19266.0,1996-09-01,A01_STOMATOLOGICAL PREPARATIONS,77962.78,15475.0,51972.1,42201.82666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,9,92995.68,1996-09-01,A01_STOMATOLOGICAL PREPARATIONS,19266.0,75383.77,38265.926666666666,43016.32666666667
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,10,19173.0,1996-10-01,A01_STOMATOLOGICAL PREPARATIONS,92995.68,14972.0,63408.15333333333,46796.329999999994
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,10,93599.7,1996-10-01,A01_STOMATOLOGICAL PREPARATIONS,19173.0,73820.29,43811.56,47891.829999999994
CONCESSIONAL NON-SAFETY NET,A01,STOMATOLOGICAL PREPARATIONS,1996,11,17206.0,1996-11-01,A01_STOMATOLOGICAL PREPARATIONS,93599.7,13171.0,68589.46,53427.69333333333
