store_id,sku_id,date,day_of_week,month,is_holiday,price,promotion,temperature,inventory_level,competitor_price,store_traffic,units_sold
15,84,2024-04-10,2,4,0,5.78,1,70.0,283,6.5,980,64
9,63,2023-08-31,3,8,0,104.49,0,103.6,416,114.07,176,33
13,80,2023-06-11,6,6,0,60.66,1,100.0,24,52.53,1056,48
3,94,2024-04-03,2,4,0,99.31,0,76.2,90,118.68,94,52
10,93,2023-11-16,3,11,0,121.99,1,48.5,176,114.37,75,53
2,89,2023-09-21,3,9,0,60.79,1,71.9,215,49.59,1268,47
30,8,2023-04-15,5,4,0,131.84,1,81.2,286,166.34,649,71
15,74,2023-08-26,5,8,0,89.25,0,85.3,399,98.89,901,35
10,32,2024-02-17,5,2,0,63.54,0,59.7,278,81.72,1756,46
12,61,2023-03-12,6,3,0,36.27,1,53.9,44,44.69,1715,69
4,83,2024-03-02,5,3,0,85.17,0,58.0,386,95.16,260,30
15,51,2023-02-16,3,2,0,66.8,1,39.7,180,77.32,1986,72
4,59,2023-11-02,3,11,1,114.63,0,63.6,231,94.62,1355,62
23,86,2023-03-06,0,3,0,87.64,1,69.6,55,71.8,807,54
29,41,2023-01-18,2,1,0,63.53,0,45.8,10,74.72,1804,52
18,67,2023-01-14,5,1,0,109.16,1,44.0,405,133.7,577,75
11,58,2023-09-24,6,9,0,73.18,0,83.3,373,88.85,1515,55
11,30,2023-04-22,5,4,0,15.38,0,78.8,184,18.25,1905,31
14,2,2023-09-16,5,9,0,105.82,1,99.0,130,117.69,682,61
15,22,2023-07-26,2,7,0,73.44,1,86.5,223,82.91,932,60
3,32,2023-05-05,4,5,0,20.42,1,85.4,119,21.99,724,69
2,89,2023-01-18,2,1,0,46.69,1,36.3,422,39.02,1757,55
4,18,2023-03-13,0,3,0,26.43,0,53.5,468,26.99,446,37
2,88,2023-10-14,5,10,0,61.89,0,67.4,106,72.61,118,41
2,68,2023-03-17,4,3,0,114.87,0,77.8,450,102.64,999,29
24,89,2023-01-15,6,1,0,131.12,0,42.1,468,116.8,132,27
9,52,2023-05-24,2,5,0,49.66,0,71.2,320,52.74,935,37
4,1,2023-04-26,2,4,0,129.53,0,71.8,131,125.4,1995,31
26,35,2024-02-13,1,2,0,117.47,1,59.3,25,143.72,632,52
29,45,2024-01-09,1,1,0,37.6,0,44.6,84,37.83,1959,52
20,85,2024-05-01,2,5,0,142.03,1,88.4,371,149.48,1460,36
12,40,2023-03-27,0,3,0,16.41,0,58.7,467,16.68,670,36
20,17,2023-10-10,1,10,0,71.0,1,60.8,27,62.72,1589,45
6,97,2023-03-25,5,3,0,103.62,0,60.3,131,84.58,816,37
14,17,2024-03-11,0,3,0,12.39,0,71.1,98,10.06,477,26
9,33,2024-01-07,6,1,0,89.39,0,48.2,272,110.87,274,37
24,45,2023-10-01,6,10,0,143.0,1,64.9,21,156.03,1114,64
11,60,2023-07-21,4,7,0,5.81,1,100.4,411,5.04,1496,57
28,72,2023-06-06,1,6,0,31.27,0,88.9,487,28.74,769,34
2,48,2024-01-04,3,1,0,19.55,1,46.6,183,16.98,1278,63
11,74,2023-09-20,2,9,0,101.82,0,77.9,435,100.93,1127,27
9,99,2023-08-05,5,8,0,24.4,0,98.0,81,25.23,238,30
3,58,2023-06-08,3,6,0,47.55,0,90.2,198,39.04,808,46
10,39,2023-12-31,6,12,0,35.39,0,53.1,291,33.39,478,36
18,66,2024-02-10,5,2,0,95.15,0,44.6,405,77.02,1307,29
22,74,2024-03-28,3,3,0,90.36,0,55.5,276,88.74,358,32
24,15,2023-03-15,2,3,0,76.84,1,50.4,62,65.97,412,41
13,58,2023-11-19,6,11,1,131.93,1,77.3,232,163.06,1348,91
23,4,2023-09-12,1,9,0,29.94,1,85.2,100,34.78,1534,56
30,2,2023-12-06,2,12,0,6.01,0,53.0,78,5.17,592,23
9,52,2024-03-30,5,3,0,5.94,0,66.3,59,5.51,261,32
17,94,2023-08-25,4,8,0,27.99,0,89.4,46,24.58,1287,39
11,81,2023-04-08,5,4,0,30.71,0,63.0,111,38.14,159,37
21,81,2024-03-28,3,3,0,90.99,0,44.9,229,103.33,761,42
9,4,2023-09-08,4,9,0,52.41,1,82.3,112,49.76,217,60
16,29,2023-08-06,6,8,0,11.14,0,85.3,149,14.44,810,32
20,63,2023-07-08,5,7,0,43.31,1,84.9,91,42.76,984,50
21,62,2023-11-19,6,11,0,22.45,1,42.8,457,20.81,1055,41
29,11,2024-02-01,3,2,0,149.28,1,47.1,395,184.24,439,77
15,28,2024-03-06,2,3,0,121.47,1,62.9,408,139.75,1523,62
11,91,2024-02-17,5,2,0,88.1,1,47.1,264,74.36,1755,56
18,86,2023-11-04,5,11,0,135.44,1,69.5,29,158.64,1627,64
19,11,2024-04-24,2,4,0,41.03,1,64.7,124,42.8,962,55
2,79,2024-01-30,1,1,0,28.74,1,54.9,197,32.34,1064,51
5,65,2024-01-27,5,1,0,34.22,1,41.0,56,39.92,1766,65
15,74,2023-03-17,4,3,0,143.09,0,58.9,24,177.38,1255,49
17,89,2023-04-03,0,4,0,83.32,1,73.7,56,100.38,1811,69
10,84,2023-03-25,5,3,0,58.16,0,63.9,154,73.66,1449,51
15,62,2023-01-11,2,1,0,75.34,0,48.6,190,72.19,136,29
3,44,2023-03-05,6,3,0,108.05,0,51.0,358,119.99,1151,43
26,84,2023-03-05,6,3,0,102.87,0,68.5,347,91.37,1006,14
23,3,2023-01-04,2,1,0,22.56,1,47.8,359,24.65,1248,56
2,50,2024-02-16,4,2,0,73.62,0,44.4,368,77.69,707,36
3,59,2023-04-26,2,4,0,45.49,1,86.9,359,48.5,908,80
2,36,2023-11-17,4,11,0,59.03,1,48.4,181,56.63,69,54
2,91,2023-05-19,4,5,0,101.56,1,73.6,418,95.01,711,50
22,39,2023-05-28,6,5,0,29.05,1,87.4,199,29.33,1439,77
15,63,2024-01-02,1,1,0,112.95,1,33.6,105,140.76,1034,72
21,78,2023-03-17,4,3,0,39.63,0,54.0,494,38.82,910,31
3,21,2023-01-04,2,1,0,118.33,1,47.9,20,108.73,1515,59
14,30,2024-05-04,5,5,0,133.65,1,90.8,98,119.48,1025,50
4,36,2023-06-28,2,6,0,19.87,1,97.1,93,22.45,99,55
1,61,2023-10-08,6,10,0,64.83,0,73.6,326,80.23,457,29
6,2,2023-08-20,6,8,0,114.12,0,93.8,224,134.13,1231,51
27,23,2023-01-13,4,1,0,105.81,0,42.7,55,122.2,1130,43
2,70,2024-01-12,4,1,0,137.5,0,53.7,115,166.86,887,45
2,66,2023-05-26,4,5,0,74.89,1,93.8,110,93.48,1436,79
9,67,2023-10-01,6,10,0,77.91,0,74.9,20,92.84,1007,42
26,74,2024-01-31,2,1,0,149.84,1,53.5,148,136.99,1276,35
2,38,2023-02-08,2,2,0,39.63,0,53.2,417,44.35,1056,38
11,36,2024-05-03,4,5,0,33.12,0,88.1,334,33.57,407,33
6,52,2024-05-06,0,5,0,22.27,0,69.9,35,18.68,971,44
26,97,2023-01-24,1,1,0,115.47,1,44.3,325,105.28,1216,35
6,80,2023-11-20,0,11,0,141.14,1,59.8,373,147.35,428,63
4,84,2023-06-30,4,6,0,85.14,0,90.0,437,77.74,591,28
11,74,2023-08-16,2,8,0,70.66,1,91.4,467,77.9,1945,48
14,59,2023-05-26,4,5,0,22.99,0,78.2,489,29.59,1822,48
20,61,2023-02-25,5,2,0,119.28,1,46.2,55,129.48,1097,69
27,88,2023-02-09,3,2,0,97.52,1,45.8,129,112.32,1262,75
14,55,2023-11-10,4,11,0,33.8,1,61.5,209,34.62,468,44
8,1,2023-05-25,3,5,0,91.48,1,75.3,271,91.57,1769,65
4,89,2024-03-30,5,3,0,24.38,0,48.0,334,24.93,1640,43
25,91,2023-08-16,2,8,0,59.78,1,76.3,273,51.97,434,42
27,24,2023-09-25,0,9,0,28.32,1,87.4,310,34.58,1451,57
23,15,2023-11-04,5,11,1,139.56,1,60.1,154,115.49,1861,53
1,18,2023-01-02,0,1,0,126.38,0,40.0,494,108.66,141,17
17,52,2023-11-24,4,11,0,17.42,0,61.8,86,19.29,1741,35
15,40,2023-02-09,3,2,0,91.61,0,46.9,95,99.85,1627,42
5,89,2024-02-03,5,2,0,75.74,1,50.1,383,65.78,1688,51
8,7,2023-01-23,0,1,0,149.24,1,41.8,442,130.16,622,42
6,73,2023-11-25,5,11,0,115.84,1,62.7,478,118.03,633,67
9,16,2023-07-12,2,7,0,42.8,0,90.2,361,54.19,202,35
2,56,2023-08-23,2,8,0,99.87,1,99.3,211,128.12,1068,60
6,57,2023-11-11,5,11,0,39.17,1,59.4,34,39.03,674,62
10,15,2023-01-18,2,1,0,126.84,0,43.4,274,103.11,420,20
14,57,2023-05-06,5,5,0,98.65,1,79.6,73,109.9,992,64
20,40,2023-01-26,3,1,0,93.72,1,43.3,283,105.8,1224,50
26,56,2023-08-29,1,8,0,22.37,0,90.3,93,18.97,1115,19
13,31,2023-01-18,2,1,0,147.72,1,47.4,40,154.75,501,60
12,55,2023-04-10,0,4,0,71.75,1,69.5,441,83.02,1011,74
8,80,2023-08-26,5,8,0,82.85,1,95.6,48,90.9,350,55
18,7,2024-01-30,1,1,0,82.75,1,48.6,279,103.61,1558,83
10,81,2023-06-01,3,6,0,30.26,0,93.3,384,34.38,1222,45
17,56,2023-03-19,6,3,0,76.33,0,53.5,436,95.79,1466,42
26,72,2023-02-16,3,2,0,54.46,0,40.2,347,59.1,1114,33
8,9,2023-12-17,6,12,0,48.52,1,44.2,169,44.36,1731,67
29,45,2023-09-19,1,9,0,25.68,0,89.1,475,23.29,1304,45
24,10,2023-08-10,3,8,0,16.67,1,86.2,479,20.95,778,58
3,69,2023-04-03,0,4,0,117.13,1,69.1,489,137.91,1057,85
28,82,2024-02-20,1,2,0,73.33,0,46.1,428,89.3,873,44
5,56,2023-06-14,2,6,0,125.88,0,80.6,80,143.96,175,32
17,26,2023-02-10,4,2,0,27.13,1,56.0,27,30.6,487,75
5,53,2023-01-11,2,1,0,96.87,1,33.3,301,118.82,599,64
7,54,2023-10-27,4,10,0,33.77,0,62.1,78,32.71,1457,39
17,79,2023-03-29,2,3,0,121.05,0,46.6,491,140.64,752,42
29,93,2024-01-01,0,1,0,72.2,0,40.4,390,81.85,478,47
29,40,2023-09-20,2,9,0,49.05,0,79.1,174,62.63,1890,46
9,42,2024-02-06,1,2,0,35.2,1,60.5,160,45.6,1424,65
8,85,2023-08-29,1,8,0,63.1,1,111.6,47,51.97,236,51
4,48,2023-06-30,4,6,0,17.94,1,81.6,195,16.15,679,52
9,25,2024-05-03,4,5,0,23.67,0,84.1,312,19.32,160,24
26,42,2023-05-03,2,5,0,7.77,1,93.5,258,7.9,1187,39
16,17,2023-06-24,5,6,0,67.79,0,91.7,14,86.09,1176,34
13,9,2024-01-29,0,1,0,33.59,0,40.5,91,35.96,194,43
13,84,2024-03-26,1,3,0,137.34,0,41.4,168,143.97,1036,33
3,55,2023-04-19,2,4,0,108.18,1,76.8,239,98.34,1744,49
25,10,2024-01-26,4,1,0,121.21,1,43.6,214,147.76,299,71
10,61,2023-07-06,3,7,1,54.95,0,93.6,403,59.91,1560,71
13,28,2023-09-16,5,9,0,37.45,0,75.5,300,39.21,372,33
17,64,2023-03-04,5,3,0,37.27,1,59.7,216,31.06,64,45
5,40,2023-06-20,1,6,0,90.12,0,87.8,49,89.33,273,34
1,38,2023-06-01,3,6,0,60.89,1,93.6,380,49.0,695,42
7,48,2023-01-08,6,1,0,110.79,1,45.3,214,114.79,1963,80
15,84,2023-01-09,0,1,0,94.57,0,43.8,481,114.47,1438,43
13,22,2023-08-27,6,8,0,109.97,1,92.7,407,127.0,1066,58
24,52,2024-02-24,5,2,0,57.16,1,47.9,179,46.42,272,43
25,57,2023-01-19,3,1,0,117.29,1,41.5,19,131.81,975,40
9,29,2023-12-06,2,12,0,63.03,1,60.4,464,57.96,507,67
10,29,2024-02-13,1,2,0,6.26,1,56.3,305,7.5,688,78
12,75,2024-02-01,3,2,0,83.6,1,51.2,489,87.71,1323,66
29,27,2023-12-14,3,12,1,18.3,1,46.6,87,18.37,1453,86
21,30,2023-10-09,0,10,0,89.82,0,67.3,361,89.9,187,21
20,92,2023-05-08,0,5,0,10.18,1,88.9,428,9.5,234,44
1,5,2024-04-03,2,4,0,109.98,0,54.0,439,121.18,543,33
27,24,2023-07-06,3,7,0,53.43,0,100.8,102,68.15,1047,38
10,5,2023-04-11,1,4,0,103.53,0,77.3,192,124.44,1847,50
30,57,2023-03-19,6,3,0,38.11,1,48.1,247,38.44,465,46
1,60,2024-01-23,1,1,0,136.91,1,45.6,465,172.75,1538,71
5,92,2023-05-27,5,5,0,5.18,0,87.0,305,4.27,1583,32
12,20,2024-03-04,0,3,0,25.23,0,71.2,473,23.1,373,34
29,90,2024-04-10,2,4,0,74.57,0,60.7,392,77.72,1373,47
21,46,2024-02-08,3,2,0,97.05,1,55.2,26,114.46,1436,62
4,5,2023-10-28,5,10,0,63.51,0,83.5,450,75.03,525,36
21,66,2023-11-11,5,11,0,92.41,1,47.7,167,82.52,977,56
8,69,2024-02-05,0,2,0,34.15,1,47.2,245,30.95,1005,70
6,83,2023-05-18,3,5,0,90.34,1,82.0,36,74.06,1132,53
5,76,2024-03-31,6,3,0,6.63,0,63.9,490,5.94,1767,36
17,71,2023-12-28,3,12,0,39.55,0,42.3,24,32.52,469,30
9,6,2023-08-15,1,8,0,140.51,1,75.2,241,154.51,1461,50
14,61,2023-04-08,5,4,0,147.88,1,71.3,33,139.82,302,60
15,36,2023-03-20,0,3,0,54.41,0,52.7,303,50.55,508,30
5,66,2023-01-29,6,1,0,119.58,1,60.3,439,135.91,1170,65
10,30,2023-04-17,0,4,0,76.12,1,83.7,124,76.87,1664,47
20,26,2023-08-11,4,8,0,6.76,1,93.3,82,6.69,1389,68
4,59,2023-02-12,6,2,0,60.81,0,47.2,44,74.2,830,40
15,15,2023-11-19,6,11,1,22.91,0,76.3,435,19.8,832,69
24,51,2023-05-19,4,5,0,85.96,0,84.2,146,107.45,1617,42
18,91,2023-04-16,6,4,0,86.97,1,67.5,364,113.02,1466,86
22,12,2023-07-05,2,7,0,8.97,1,88.5,146,9.31,786,70
13,86,2023-09-20,2,9,0,127.5,0,78.4,213,131.78,69,29
3,41,2023-07-08,5,7,0,26.31,0,91.9,197,26.1,312,40
10,86,2023-07-13,3,7,0,57.1,1,96.0,224,51.61,718,54
8,55,2023-06-25,6,6,0,41.32,0,86.1,242,53.46,1514,48
4,7,2023-08-24,3,8,0,68.05,0,106.8,57,60.17,1891,31
16,62,2024-05-07,1,5,0,93.1,0,82.9,436,96.75,996,23
10,32,2024-03-27,2,3,0,16.51,1,68.2,340,20.92,1373,69
21,83,2024-04-05,4,4,0,81.61,0,69.5,307,92.73,1670,37
5,56,2023-09-19,1,9,0,51.77,0,80.2,225,47.77,1692,33
8,66,2024-02-21,2,2,0,92.4,0,54.4,475,107.74,1571,51
6,75,2023-04-21,4,4,0,92.81,1,78.4,228,108.41,1632,81
22,23,2023-04-22,5,4,0,68.59,0,76.4,257,60.7,1332,40
15,58,2023-05-10,2,5,0,46.1,1,79.9,466,53.48,440,54
12,39,2023-10-07,5,10,0,40.93,0,57.7,323,35.65,1861,43
29,96,2023-03-15,2,3,0,66.79,1,61.4,71,82.03,447,62
21,16,2023-01-01,6,1,0,83.66,0,37.4,331,80.15,1053,29
10,26,2023-12-02,5,12,0,12.06,0,52.6,58,13.24,450,43
4,26,2023-04-04,1,4,0,133.56,1,61.8,421,173.27,1961,74
9,96,2023-02-04,5,2,0,26.6,1,57.5,205,27.07,1836,62
16,8,2024-01-20,5,1,0,115.97,1,46.9,420,137.32,129,55
21,2,2024-03-16,5,3,0,30.32,0,53.7,422,28.79,1708,36
13,17,2023-09-15,4,9,0,143.78,1,85.7,88,184.17,319,76
14,50,2023-10-05,3,10,0,78.62,1,70.4,371,100.25,1826,58
2,34,2024-03-11,0,3,0,6.08,1,61.4,315,5.39,702,63
21,35,2024-01-07,6,1,0,148.99,0,53.2,388,159.76,1495,40
9,24,2024-02-20,1,2,0,77.23,0,61.3,45,99.59,1068,45
1,39,2023-05-04,3,5,0,131.57,0,87.9,437,118.29,627,22
14,58,2023-11-03,4,11,0,19.0,0,73.5,423,20.07,589,35
12,55,2024-04-10,2,4,0,72.19,0,72.3,358,61.4,619,32
13,98,2023-12-23,5,12,0,107.44,0,37.8,169,105.34,725,38
28,36,2023-08-27,6,8,0,129.85,0,96.1,242,109.08,1140,28
22,91,2023-10-31,1,10,0,62.37,0,65.8,118,68.23,1266,47
25,24,2023-11-21,1,11,0,129.57,1,56.0,192,150.16,1522,57
6,59,2023-06-24,5,6,0,78.62,1,104.2,381,91.46,743,80
25,36,2023-02-16,3,2,0,116.16,1,49.9,334,103.77,1335,45
2,33,2023-02-12,6,2,0,65.81,1,54.2,361,68.55,1530,56
23,42,2023-04-08,5,4,0,145.21,0,75.7,404,121.05,823,21
17,38,2023-08-05,5,8,0,103.92,0,103.9,145,128.32,311,43
12,51,2024-05-06,0,5,0,51.34,0,95.5,390,48.82,814,35
18,31,2023-07-25,1,7,0,88.04,1,96.7,117,81.61,805,59
4,86,2024-04-22,0,4,0,106.38,1,70.6,298,105.02,136,43
10,91,2023-01-11,2,1,0,36.58,1,63.7,120,32.1,1267,51
26,81,2023-11-07,1,11,0,131.61,0,53.1,211,144.28,1440,35
9,68,2023-09-15,4,9,0,121.74,1,85.1,199,122.29,67,57
30,83,2023-04-03,0,4,0,54.53,1,65.5,183,59.17,1748,45
13,38,2024-02-11,6,2,0,129.06,1,39.9,291,131.55,1026,62
8,83,2023-08-04,4,8,0,92.23,0,93.8,431,84.55,712,33
29,4,2023-10-18,2,10,0,147.81,1,76.8,468,133.26,1189,48
23,85,2024-01-16,1,1,0,50.81,0,43.7,143,63.21,550,35
13,26,2023-06-14,2,6,0,79.65,0,93.6,104,92.31,1662,54
17,23,2024-04-15,0,4,0,18.71,0,64.8,447,15.41,1569,37
8,54,2023-06-26,0,6,0,129.92,1,82.1,37,138.38,520,63
15,2,2023-06-04,6,6,0,112.95,0,88.8,202,144.83,1218,43
9,79,2024-03-25,0,3,0,73.76,0,47.7,241,81.02,670,35
24,56,2023-11-24,4,11,0,101.55,0,63.0,434,130.25,63,39
10,38,2024-01-24,2,1,0,9.96,0,50.5,303,10.08,1793,43
8,35,2023-12-30,5,12,0,81.41,0,59.2,16,71.03,676,38
15,12,2023-07-22,5,7,0,99.78,1,100.2,117,122.28,632,55
7,69,2023-01-29,6,1,0,74.4,1,41.0,322,94.6,1516,74
9,19,2023-01-24,1,1,0,66.92,0,35.5,213,75.62,1782,35
16,28,2023-02-01,2,2,0,91.07,1,51.7,386,113.51,1717,55
10,69,2023-01-07,5,1,0,80.83,1,39.7,406,77.81,1291,61
28,19,2024-03-21,3,3,0,68.04,1,63.4,217,64.27,817,40
13,11,2023-01-09,0,1,0,136.15,0,57.4,53,134.54,625,24
16,8,2024-04-21,6,4,0,53.63,0,66.2,33,49.32,506,27
16,59,2023-11-01,2,11,1,41.13,0,63.7,30,43.54,1270,50
1,90,2024-02-16,4,2,0,58.87,0,53.5,248,48.77,106,28
12,62,2023-07-09,6,7,1,142.36,1,93.7,211,168.2,94,88
29,81,2024-01-09,1,1,0,61.43,0,43.8,401,78.14,867,49
1,2,2023-02-01,2,2,0,61.09,0,52.9,396,52.11,1886,20
14,74,2023-02-19,6,2,0,45.63,1,58.5,181,40.04,387,41
28,38,2023-02-26,6,2,0,55.65,1,38.9,240,69.93,1365,60
25,59,2023-02-04,5,2,0,143.44,0,49.0,324,185.22,494,52
16,36,2024-01-18,3,1,0,40.94,0,38.2,208,35.47,1620,24
22,38,2024-03-01,4,3,0,115.72,1,58.7,199,138.23,1332,69
10,29,2023-06-02,4,6,0,48.1,1,106.7,441,46.13,1552,65
7,27,2024-01-15,0,1,0,38.67,0,66.0,74,48.56,1265,45
30,92,2023-07-25,1,7,0,6.07,1,106.2,194,5.93,281,59
12,83,2023-01-22,6,1,0,79.44,0,57.9,148,80.03,227,35
30,78,2023-03-23,3,3,0,67.41,1,57.5,290,68.65,444,59
15,54,2024-05-01,2,5,0,64.17,1,89.8,410,61.66,1680,60
9,85,2023-04-25,1,4,0,16.72,0,79.3,298,21.11,1940,40
9,25,2023-08-10,3,8,0,78.47,1,85.4,213,100.39,259,52
23,47,2023-06-17,5,6,0,10.64,1,93.4,480,13.09,533,53
18,44,2023-08-03,3,8,0,74.42,1,98.9,337,80.07,1841,67
21,93,2024-04-01,0,4,0,149.21,0,59.6,365,150.68,804,34
23,71,2023-10-12,3,10,0,40.21,0,81.2,92,32.22,1666,35
15,19,2023-10-16,0,10,0,119.5,0,74.6,342,129.0,1858,42
15,80,2023-01-28,5,1,0,10.89,1,29.1,425,11.45,1373,69
7,60,2023-04-26,2,4,0,8.79,1,79.2,340,7.64,716,52
1,98,2024-02-18,6,2,0,16.16,1,56.6,463,15.1,275,47
9,27,2023-08-14,0,8,0,70.69,1,90.1,402,82.84,231,66
27,18,2023-11-26,6,11,0,85.73,0,51.5,152,108.22,1476,52
27,24,2024-01-04,3,1,0,40.53,1,42.4,265,49.31,56,59
9,69,2023-07-02,6,7,0,143.03,0,110.3,63,178.87,611,50
23,37,2024-05-09,3,5,0,147.83,0,78.7,363,150.47,865,38
13,20,2023-10-29,6,10,0,127.88,1,72.4,20,165.66,1426,67
30,63,2023-03-09,3,3,0,16.09,0,54.4,273,17.12,756,33
13,88,2023-04-11,1,4,0,122.23,1,72.6,20,143.21,1929,63
16,93,2024-02-25,6,2,0,71.54,0,48.4,126,68.93,1046,26
6,51,2023-03-19,6,3,0,139.63,1,71.2,384,139.28,434,73
5,12,2024-05-14,1,5,0,56.59,0,97.4,397,53.91,549,25
22,6,2023-11-19,6,11,0,99.36,0,54.2,171,91.56,460,37
30,18,2024-04-05,4,4,0,11.73,0,74.0,12,11.72,1716,37
15,76,2023-11-01,2,11,0,5.68,0,65.7,18,5.16,1370,31
12,64,2023-06-15,3,6,0,83.65,0,91.5,35,85.47,207,39
27,58,2023-03-04,5,3,0,46.17,0,52.8,495,46.74,789,47
18,66,2024-03-31,6,3,0,58.81,1,54.9,203,72.29,124,68
5,93,2023-06-12,0,6,0,142.57,0,85.7,24,117.0,447,23
2,23,2023-08-14,0,8,0,83.48,0,97.8,118,75.0,1144,30
23,70,2023-02-23,3,2,0,136.19,1,60.3,384,157.71,599,59
2,81,2023-09-03,6,9,0,78.66,1,91.2,266,89.75,1750,68
5,62,2023-03-06,0,3,0,35.02,0,57.0,407,33.49,1597,38
4,91,2024-04-06,5,4,0,118.87,0,63.6,418,140.49,999,47
15,18,2023-02-12,6,2,0,59.69,1,54.5,225,60.4,792,54
19,90,2023-11-24,4,11,1,144.99,1,55.4,320,133.37,1746,76
5,60,2024-04-28,6,4,0,20.9,1,72.1,244,24.96,73,58
7,74,2023-03-28,1,3,0,9.63,1,42.1,282,8.39,442,49
22,87,2023-02-03,4,2,0,112.83,0,46.0,37,127.01,1495,52
15,42,2023-03-05,6,3,0,62.55,1,64.0,433,66.16,838,61
13,9,2024-02-26,0,2,0,32.18,1,45.8,467,39.26,1955,52
17,8,2023-01-24,1,1,0,81.24,1,42.6,233,81.54,1035,53
3,18,2023-08-19,5,8,0,118.88,0,90.8,267,144.9,1612,51
12,9,2023-11-19,6,11,0,11.15,0,50.0,333,13.66,223,36
15,10,2023-08-23,2,8,0,62.06,1,86.7,53,58.51,124,59
9,34,2024-02-17,5,2,0,54.84,1,45.0,406,64.74,636,50
19,45,2023-04-04,1,4,0,80.14,0,82.5,397,73.72,1556,33
19,72,2023-05-21,6,5,0,45.3,1,81.4,179,40.22,957,52
13,90,2023-07-26,2,7,0,105.14,0,99.4,208,114.91,758,38
16,35,2024-05-03,4,5,0,111.0,0,85.6,432,133.14,1944,34
28,46,2024-01-21,6,1,0,55.48,0,57.7,86,51.04,1432,32
9,95,2024-04-07,6,4,0,20.68,0,57.2,452,16.63,63,27
18,78,2023-11-21,1,11,0,140.79,0,62.7,446,161.04,686,44
19,77,2024-01-08,0,1,0,11.67,1,31.1,449,9.87,1863,54
30,39,2024-04-14,6,4,0,36.84,0,56.9,353,40.28,974,31
29,33,2023-04-16,6,4,0,125.57,1,77.1,241,139.9,1977,74
24,56,2023-08-16,2,8,0,52.1,0,95.4,221,48.41,417,34
25,96,2023-11-28,1,11,0,7.0,1,56.2,237,7.55,889,47
19,47,2023-05-18,3,5,0,91.48,1,81.9,490,74.49,244,50
1,39,2023-05-08,0,5,0,34.35,1,74.2,443,30.12,1382,41
10,14,2023-07-11,1,7,0,56.7,0,93.2,277,51.17,1176,28
20,67,2024-01-06,5,1,0,31.46,1,35.6,46,25.17,557,45
